GID_4,NAME_2,NAME_3,NAME_4,pop,builtup,flood,pop_norm,builtup_norm,flood_norm,ASI,stress_tier,city_corp,hh_total,pop_total,hh_size,elec_coverage,hh_size_norm,ASI_updated,corp_spatial
BGD.3.1.4.1_1,Dhaka,Biman Bandar,Dakshinkhan (part),107.3020732241385,0.2767266159338595,0.8295454545454545,0.054279623646308,0.5170020814812498,0.8295454545454545,0.4100489416133243,Moderate stress,,,,,,,0.4100489416133243,DNCC
BGD.3.1.4.3_1,Dhaka,Biman Bandar,Ward No-98 (rest. Area),5.266141739996264,0.0692077228364313,0.928358208955224,0.0011836778110868,0.1292992242190549,0.928358208955224,0.27781775183991,Low stress,,,,,,,0.27781775183991,DNCC
BGD.3.1.5.1_1,Dhaka,Cantonment,Ward No-15 (part),157.95976595412804,0.1968950301715369,0.978846153846154,0.0806401230332012,0.3678545342972291,0.978846153846154,0.4057166746788492,Moderate stress,,,,,,,0.4057166746788492,DNCC
BGD.3.1.5.2_1,Dhaka,Cantonment,Ward No-98 (Rest. Area),203.4217511856937,0.1623314492075558,0.9642147117296224,0.1042969571533658,0.3032801772498574,0.9642147117296224,0.388920522831202,Moderate stress,,,,,,,0.388920522831202,DNCC
BGD.3.1.6.1_1,Dhaka,Chak Bazar,Ward No-63 (Part),1314.6183714124893,0.3601379861111111,0.6670908111974161,0.6825249862571352,0.6728376589710174,0.6670908111974161,0.6752758779420642,High stress,,,,,,,0.6752758779420642,DSCC
BGD.3.1.6.2_1,Dhaka,Chak Bazar,Ward No-64,1511.6390456854128,0.4460062745098039,0.6670908111974161,0.7850476848541454,0.8332634412382608,0.6670908111974161,0.7724339811744034,High stress,DSCC,14610.0,57231.0,3.92,99.9,0.6799999999999997,0.7327400284873156,DSCC
BGD.3.1.6.3_1,Dhaka,Chak Bazar,Ward No-65,687.4464124435757,0.4083803534730784,0.9866666666666668,0.3561665370479139,0.7629677834534468,0.9866666666666668,0.6561720056945386,Moderate stress,DSCC,29687.0,119917.0,3.99,99.95,0.75,0.6409386953685932,DSCC
BGD.3.1.6.4_1,Dhaka,Chak Bazar,Ward No-66 (Part),661.5951619395747,0.3640249134948097,1.0,0.3427144464307327,0.680099517542724,1.0,0.6251206097122465,Moderate stress,,,,,,,0.6251206097122465,DSCC
BGD.3.1.6.5_1,Dhaka,Chak Bazar,Ward No-67 (Part),1167.3173192703707,0.4081622432859401,0.6670908111974161,0.605874647770986,0.7625602931209314,0.6670908111974161,0.6760186645000743,High stress,,,,,,,0.6760186645000743,DSCC
BGD.3.1.7.1_1,Dhaka,Dakshinkhan,Dakshinkhan (Part),235.6195920400544,0.3007861800378327,0.8656609195402302,0.1210515923994791,0.5619520212595713,0.8656609195402302,0.4615190742856991,Moderate stress,,,,,,,0.4615190742856991,DNCC
BGD.3.1.9.1_1,Dhaka,Demra,Demra (part),75.37205927517574,0.074685176417735,0.8945294741627521,0.0376643561959837,0.1395326269338404,0.8945294741627521,0.2875345304459257,Low stress,,,,,,,0.2875345304459257,DSCC
BGD.3.1.9.2_1,Dhaka,Demra,Matuail (part),415.9988607301258,0.2906475360990143,0.7886178861788619,0.2149146829878499,0.5430102219603699,0.7886178861788619,0.4731739224259849,Moderate stress,,,,,,,0.4731739224259849,DSCC
BGD.3.1.9.3_1,Dhaka,Demra,Saralia,292.1834401498169,0.3104846048478349,0.9899274778404512,0.1504854493926343,0.5800713691110225,0.9899274778404512,0.5107010284060244,Moderate stress,,,,,,,0.5107010284060244,DSCC
BGD.3.1.10.1_1,Dhaka,Dhamrai,Amta,10.172251737838533,0.0249217205180054,0.2635658914728687,0.0037366466223487,0.0465606871186626,0.2635658914728687,0.0836823720086886,Low stress,,,,,,,0.0836823720086886,
BGD.3.1.10.2_1,Dhaka,Dhamrai,Baisakanda,8.194361254926648,0.0257999025234248,0.0,0.0027074212855367,0.0482013747091535,0.0,0.0179534496624184,Low stress,,,,,,,0.0179534496624184,
BGD.3.1.10.3_1,Dhaka,Dhamrai,Balia,9.513258048396674,0.0324569937829774,0.0183823529411765,0.0033937292526396,0.0606386678339389,0.0183823529411765,0.0271766136782286,Low stress,,,,,,,0.0271766136782286,
BGD.3.1.10.4_1,Dhaka,Dhamrai,Bhararia,13.270500004413568,0.0416631975867269,0.4181146025878013,0.0053488671387234,0.0778384103054643,0.4181146025878013,0.1339116411093522,Low stress,,,,,,,0.1339116411093522,
BGD.3.1.10.5_1,Dhaka,Dhamrai,Chauhat,8.433125051131434,0.0207761550694116,0.3848964677222906,0.0028316656512842,0.0388156208965107,0.3848964677222906,0.1109422505048651,Low stress,,,,,,,0.1109422505048651,
BGD.3.1.10.6_1,Dhaka,Dhamrai,Dhamrai,27.98950259780245,0.0577185871221233,0.5499697153240465,0.0130081235700572,0.1078343316619274,0.5499697153240465,0.1804376943407091,Low stress,,,,,,,0.1804376943407091,
BGD.3.1.10.7_1,Dhaka,Dhamrai,Dhamrai Paurashava,73.88292153115454,0.1759995259558594,0.7470039946737687,0.0368894607660339,0.3288159360884918,0.7470039946737687,0.3165923606058278,Low stress,,,,,,,0.3165923606058278,
BGD.3.1.10.8_1,Dhaka,Dhamrai,Gangutia,13.064076940216683,0.0492934413098155,0.0572831423895254,0.0052414517638028,0.0920938221809483,0.0572831423895254,0.0486502040662344,Low stress,,,,,,,0.0486502040662344,
